id,equipment_name,model,spec_name,spec_value
310,Pneumatic  Roller XP265S,XP265S,Maximum operating weight(kg),26300
311,Pneumatic  Roller XP265S,XP265S,Water tank capacity(L),570L
312,Pneumatic  Roller XP265S,XP265S,Counterweight total(kg),3815
313,Pneumatic  Roller XP303S,XP303S,Maximum operating weight(kg),XP303S
314,Pneumatic  Roller XP303S,XP303S,Counterweight total(kg),30300
315,Pneumatic  Roller XP303S,XP303S,Engine manufacturer,20
316,Pneumatic  Roller XP303K,XP303K,Maximum operating weight(kg),30300
317,Pneumatic  Roller XP303K,XP303K,Water tank capacity(L),650L
318,Pneumatic  Roller XP303K,XP303K,Counterweight total(kg),14550
319,Pneumatic  Roller XP303,XP303,Maximum operating weight(kg),30300
320,Pneumatic  Roller XP303,XP303,Water tank capacity(L),650L
321,Pneumatic  Roller XP303,XP303,Counterweight total(kg),14550
322,Pneumatic  Roller XP263S,XP263S,Maximum operating weight(kg),26300
323,Pneumatic  Roller XP263S,XP263S,Water tank capacity(L),650L
324,Pneumatic  Roller XP263S,XP263S,Counterweight total(kg),10550
325,Pneumatic  Roller XP263K,XP263K,Maximum operating weight(kg),26300
326,Pneumatic  Roller XP263K,XP263K,Water tank capacity(L),650 L
327,Pneumatic  Roller XP263K,XP263K,Counterweight total(kg),10550
328,Pneumatic  Roller XP263,XP263,Maximum operating weight(kg),26300
329,Pneumatic  Roller XP263,XP263,Water tank capacity(L),650 L
330,Pneumatic  Roller XP263,XP263,Counterweight total(kg),10550
331,Pneumatic  Roller XP163,XP163,Maximum operating weight(kg),16000
332,Pneumatic  Roller XP163,XP163,Water tank capacity(L),650 L
333,Pneumatic  Roller XP163,XP163,Counterweight total(kg),3600
334,Motor Grader GR1003,GR1003,Manufacturer,Weichai
335,Motor Grader GR1003,GR1003,Engine Model,WP4.1
336,Motor Grader GR1003,GR1003,Rated power/speed (kW/rpm),75/2200
337,Motor Grader GR1803,GR1803,Manufacturer,Shangchai
338,Motor Grader GR1803,GR1803,Engine Model,SC7H190.1G3
339,Motor Grader GR1803,GR1803,Rated power/speed (kW/rpm),140/2000
340,Motor Grader GR2153,GR2153,Manufacturer,Cummins
341,Motor Grader GR2153,GR2153,Engine Model,QSB6.7
342,Motor Grader GR2153,GR2153,Rated power/speed (kW/rpm),164/2000
343,Motor Grader GR2403,GR2403,Manufacturer,Cummins
344,Motor Grader GR2403,GR2403,Engine Model,QSB6.7
345,Motor Grader GR2403,GR2403,Rated power/speed (kW/rpm),178/2000
346,Motor Grader GR135,GR135,Manufacturer,Cummins
347,Motor Grader GR135,GR135,Engine Model,6BT5.9
348,Motor Grader GR135,GR135,Rated power/speed (kW/rpm),97/2200
349,Motor Grader GR165,GR165,Manufacturer,Cummins
350,Motor Grader GR165,GR165,Engine Model,6BTA5.9
351,Motor Grader GR165,GR165,Rated power/speed (kW/rpm),132//2200
352,Motor Grader GR180,GR180,Manufacturer,Cummins
353,Motor Grader GR180,GR180,Engine Model,6CTA8.3
354,Motor Grader GR180,GR180,Rated power/speed (kW/rpm),142/2200
355,Motor Grader GR215,GR215,Manufacturer,Cummins
356,Motor Grader GR215,GR215,Engine Model,6CTA8.3
357,Motor Grader GR215,GR215,Rated power/speed (kW/rpm),160/2200
358,Motor Grader GR215A,GR215A,Manufacturer,Cummins
359,Motor Grader GR215A,GR215A,Engine Model,6CTA8.3
360,Motor Grader GR215A,GR215A,Rated power/speed (kW/rpm),160/2200
361,Powder binder spreader XKC163,XKC163,Powder Silo volume (m³),16
362,Powder binder spreader XKC163,XKC163,Spreading width (mm),400～2400
363,Powder binder spreader XKC163,XKC163,Spreading density (kg/m²),5～40
364,Powder binder spreader XKC203,XKC203,Powder Silo volume (m³),20
365,Powder binder spreader XKC203,XKC203,Spreading width (mm),400～2400
366,Powder binder spreader XKC203,XKC203,Spreading density (kg/m²),5～40
